n,x,s,p,n_next,x_next,s_next,p_next,count,count_smoothed,prob
1,1,3,-1,2,1,2,1,0,1,0.023809523809523808
1,1,3,-1,2,1,3,-1,0,1,0.023809523809523808
1,1,3,-1,2,1,3,1,0,1,0.023809523809523808
1,1,3,-1,2,2,-3,-1,0,1,0.023809523809523808
1,1,3,-1,2,2,-3,1,0,1,0.023809523809523808
1,1,3,-1,2,2,-2,-1,0,1,0.023809523809523808
1,1,3,-1,2,2,-2,1,0,1,0.023809523809523808
1,1,3,-1,2,2,-1,-1,0,1,0.023809523809523808
1,1,3,-1,2,2,-1,1,0,1,0.023809523809523808
1,1,3,-1,2,2,0,-1,0,1,0.023809523809523808
1,1,3,-1,2,2,0,1,0,1,0.023809523809523808
1,1,3,-1,2,2,1,-1,0,1,0.023809523809523808
1,1,3,-1,2,2,1,1,0,1,0.023809523809523808
1,1,3,-1,2,2,2,-1,0,1,0.023809523809523808
1,1,3,-1,2,2,2,1,0,1,0.023809523809523808
1,1,3,-1,2,2,3,-1,0,1,0.023809523809523808
1,1,3,-1,2,2,3,1,0,1,0.023809523809523808
1,1,3,-1,2,3,-3,-1,0,1,0.023809523809523808
1,1,3,-1,2,3,-3,1,0,1,0.023809523809523808
1,1,3,-1,2,3,-2,-1,0,1,0.023809523809523808
1,1,3,-1,2,3,-2,1,0,1,0.023809523809523808
1,1,3,-1,2,3,-1,-1,0,1,0.023809523809523808
1,1,3,-1,2,3,-1,1,0,1,0.023809523809523808
1,1,3,-1,2,3,0,-1,0,1,0.023809523809523808
1,1,3,-1,2,3,0,1,0,1,0.023809523809523808
1,1,3,-1,2,3,1,-1,0,1,0.023809523809523808
1,1,3,-1,2,3,1,1,0,1,0.023809523809523808
1,1,3,-1,2,3,2,-1,0,1,0.023809523809523808
1,1,3,-1,2,3,2,1,0,1,0.023809523809523808
1,1,3,-1,2,3,3,-1,0,1,0.023809523809523808
1,1,3,-1,2,3,3,1,0,1,0.023809523809523808
1,1,3,1,2,1,3,-1,0,1,0.16666666666666666
1,1,3,1,2,1,3,1,0,1,0.16666666666666666
1,1,3,1,2,2,3,-1,0,1,0.16666666666666666
1,1,3,1,2,2,3,1,0,1,0.16666666666666666
1,1,3,1,2,3,3,-1,0,1,0.16666666666666666
1,1,3,1,2,3,3,1,0,1,0.16666666666666666
1,2,-3,-1,2,1,-3,-1,0,1,0.16666666666666666
1,2,-3,-1,2,1,-3,1,0,1,0.16666666666666666
1,2,-3,-1,2,2,-3,-1,0,1,0.16666666666666666
1,2,-3,-1,2,2,-3,1,0,1,0.16666666666666666
1,2,-3,-1,2,3,-3,-1,0,1,0.16666666666666666
1,2,-3,-1,2,3,-3,1,0,1,0.16666666666666666
1,2,-3,1,2,1,-3,-1,0,1,0.023809523809523808
1,2,-3,1,2,1,-3,1,0,1,0.023809523809523808
1,2,-3,1,2,1,-2,-1,0,1,0.023809523809523808
1,2,-3,1,2,1,-2,1,0,1,0.023809523809523808
1,2,-3,1,2,1,-1,-1,0,1,0.023809523809523808
1,2,-3,1,2,1,-1,1,0,1,0.023809523809523808
1,2,-3,1,2,1,0,-1,0,1,0.023809523809523808
1,2,-3,1,2,1,0,1,0,1,0.023809523809523808
1,2,-3,1,2,1,1,-1,0,1,0.023809523809523808
1,2,-3,1,2,1,1,1,0,1,0.023809523809523808
1,2,-3,1,2,1,2,-1,0,1,0.023809523809523808
1,2,-3,1,2,1,2,1,0,1,0.023809523809523808
1,2,-3,1,2,1,3,-1,0,1,0.023809523809523808
1,2,-3,1,2,1,3,1,0,1,0.023809523809523808
1,2,-3,1,2,2,-3,-1,0,1,0.023809523809523808
1,2,-3,1,2,2,-3,1,0,1,0.023809523809523808
1,2,-3,1,2,2,-2,-1,0,1,0.023809523809523808
1,2,-3,1,2,2,-2,1,0,1,0.023809523809523808
1,2,-3,1,2,2,-1,-1,0,1,0.023809523809523808
1,2,-3,1,2,2,-1,1,0,1,0.023809523809523808
1,2,-3,1,2,2,0,-1,0,1,0.023809523809523808
1,2,-3,1,2,2,0,1,0,1,0.023809523809523808
1,2,-3,1,2,2,1,-1,0,1,0.023809523809523808
1,2,-3,1,2,2,1,1,0,1,0.023809523809523808
1,2,-3,1,2,2,2,-1,0,1,0.023809523809523808
1,2,-3,1,2,2,2,1,0,1,0.023809523809523808
1,2,-3,1,2,2,3,-1,0,1,0.023809523809523808
1,2,-3,1,2,2,3,1,0,1,0.023809523809523808
1,2,-3,1,2,3,-3,-1,0,1,0.023809523809523808
1,2,-3,1,2,3,-3,1,0,1,0.023809523809523808
1,2,-3,1,2,3,-2,-1,0,1,0.023809523809523808
1,2,-3,1,2,3,-2,1,0,1,0.023809523809523808
1,2,-3,1,2,3,-1,-1,0,1,0.023809523809523808
1,2,-3,1,2,3,-1,1,0,1,0.023809523809523808
1,2,-3,1,2,3,0,-1,0,1,0.023809523809523808
1,2,-3,1,2,3,0,1,0,1,0.023809523809523808
1,2,-3,1,2,3,1,-1,0,1,0.023809523809523808
1,2,-3,1,2,3,1,1,0,1,0.023809523809523808
1,2,-3,1,2,3,2,-1,0,1,0.023809523809523808
1,2,-3,1,2,3,2,1,0,1,0.023809523809523808
1,2,-3,1,2,3,3,-1,0,1,0.023809523809523808
